vcf_sample_name	sample_name	k3population	latitude	longitude	latlong_approx
ERR2990227.sam	SAMEA5165541	N_Europe	47.56	8.52	no
ERR5555037.sam	SAMEA8202277	N_Europe	NA	NA	no
SRR1664898.sam	RK32	N_Europe	64.145981	-21.9422367	yes
SRR1665054.sam	5.16	MENA	41.6521807	-4.728605	yes
SRR1665062.sam	16.9	N_Europe	51.84257485	5.83896062874823	yes
SRR1665063.sam	70.5	MENA	37.9741958	24.0091361	yes
SRR1665067.sam	13.16	N_Europe	50.0469432	19.9971534358367	yes
SRR1665070.sam	39-12-28	MENA	43.8461189	11.7211237	yes
SRR1665071.sam	VLA	N_Europe	43.1150678	131.8855768	yes
SRR1665072.sam	12.4	N_Europe	51.4825041	11.9705452	yes
SRR1746837.sam	PL	E_Asia	24.85	110.066667	yes
SRR1751470.sam	SE14	N_Europe	62.6323084	17.9379914	yes
SRR27183503.sam	jicai_NDSW64981	E_Asia	NA	NA	no
SRR5406791.sam	F0_lel	N_Europe	NA	NA	no
SRR5412136.sam	wt-msu	N_Europe	55.7505412	37.6174782	yes
SRR5412137.sam	wt-msu	N_Europe	55.7505412	37.6174782	yes
SRR5803007.sam	wt-msu	N_Europe	55.7505412	37.6174782	yes
SRR5803008.sam	wt-msu	N_Europe	55.7505412	37.6174782	yes
SRR5803009.sam	wt-msu	N_Europe	55.7505412	37.6174782	yes
SRR6179229.sam	BEJ3	N_Europe	48.33333333	87.11666667	no
SRR6179230.sam	FY5	N_Europe	47.3	89.96666667	no
SRR6179231.sam	TACH1	N_Europe	47.06666667	83.01666667	no
SRR6179232.sam	HRB138	E_Asia	45.75	126.6166667	no
SRR6179233.sam	HRB135	E_Asia	45.75	126.6166667	no
SRR6179234.sam	QD325	E_Asia	36.08333333	120.3333333	no
SRR6179235.sam	HD63	E_Asia	36.6	114.4833333	no
SRR6179237.sam	NJN7	E_Asia	32.05	118.7666667	no
SRR6179238.sam	WH54	E_Asia	30.61666667	114.2666667	no
SRR6179239.sam	SH7	E_Asia	31.08333333	121.1833333	no
SRR6179240.sam	HSH295	E_Asia	30.2	115.0166667	no
SRR6179241.sam	AQ415	E_Asia	30.51666667	117.0833333	no
SRR6179242.sam	HuY3	E_Asia	36.68333333	101.25	no
SRR6179243.sam	NE2	E_Asia	42.21666667	127.45	no
SRR6179244.sam	JJN2	E_Asia	29.65	115.9833333	no
SRR6179245.sam	LL761	E_Asia	29.95	94.8	no
SRR6179246.sam	ZD31	E_Asia	28.13333333	99.83333333	no
SRR6179247.sam	LJH9	E_Asia	28.36666667	99.01666667	no
SRR6179248.sam	LJ5	E_Asia	26.86666667	100.2	no
SRR6179249.sam	ZD13	E_Asia	27.83333333	99.73333333	no
SRR6179250.sam	ZJ15	E_Asia	26.56666667	105.55	no
SRR6179251.sam	GY6	E_Asia	26.61666667	106.7166667	no
SRR6179252.sam	FJ7	E_Asia	26.08333333	119.2333333	no
SRR6179253.sam	YNHZ2	E_Asia	26.23333333	103.2666667	no
SRR6382382.sam	FR50	N_Europe	48.08	7.37	no
SRR6382383.sam	IRRU2	N_Europe	52.16	104.18	no
SRR6382384.sam	JO56	MENA	31.97	35.98	no
SRR6382385.sam	BEL5	N_Europe	50.55	128.28	no
SRR6382386.sam	AL87	MENA	35.45	7.96	no
SRR6382387.sam	XN444	E_Asia	36.37	101.46	no
SRR6382388.sam	DL174	E_Asia	38.56	121.35	no
SRR6382389.sam	HJC419	E_Asia	30.16	120.13	no
SRR6382390.sam	GY37	E_Asia	26.37	106.43	no
SRR6382391.sam	HY85	E_Asia	26.53	112.33	no
SRR6382392.sam	HRB132	N_Europe	45.45	126.37	no
SRR6382393.sam	SE33	N_Europe	56.15	13.77	no
SRR6382394.sam	NJ219	E_Asia	32.03	118.46	no
SRR6382395.sam	KMB206	E_Asia	25.06	102.41	no
SRR6382396.sam	JZH152	E_Asia	30.2	112.06	no
SRR6382397.sam	TR73	MENA	41.02	28.97	no
SRR6382398.sam	TBS195	E_Asia	33.57	107.45	no
SRR6382399.sam	STJ2	N_Europe	44.51	-1.21	no
SRR6382400.sam	STA4	N_Europe	56.2	-2.47	no
SRR6382402.sam	TY118	E_Asia	37.55	112.32	no
SRR8904462.sam	DUB-RUS9	N_Europe	51.53	58.85	no
SRR8904463.sam	KYRG-3-14	MENA	39.79	72.18	no
SRR8904464.sam	LAB-RUS-4	N_Europe	66.65	66.4	no
SRR8904465.sam	TACH-CHIN14	N_Europe	47.07	83.01	no
SRR8904466.sam	JO59	MENA	31.97	35.98	no
